site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
04W02,04W02_2,LS,June,21,0.7620228061477442,1,16.580078074170462
04W03,04W03_1,HS,June,7,1,1,17.07074294205052
04W03,04W03_1,HS,June,14,1,1,16.917553903345723
04W03,04W03_1,HS,June,21,0.7620228061477442,1,16.97934938191282
04W04,04W04_1,HS,June,7,1,0.08766716196136701,17.814249628528973
04W04,04W04_2,LS,June,7,1,1,17.623462109955423
04W04,04W04_1,HS,June,14,1,0.3353159851301115,17.18182156133829
04W04,04W04_2,LS,June,14,1,1,17.447122676579927
04W04,04W04_1,HS,June,21,0.7620228061477442,0.4183474300585556,17.344072869225766
04W04,04W04_2,LS,June,21,0.7620228061477442,1,17.56594664931685
20M01,20M01_1,HS,June,7,1,0.14561664190193166,16.672867756315007
20M01,20M01_1,HS,June,14,1,0.18587360594795538,18.721197026022306
20M01,20M01_1,HS,June,21,0.6668319286068418,0.18587360594795538,18.721197026022306
20M02,20M02_1,HS,June,7,1,1,14.591203566121843
20M02,20M02_1,HS,June,14,1,1,15.598312267657992
20M02,20M02_1,HS,June,21,0.6668319286068418,1,15.598312267657992
20M03,20M03_1,HS,June,7,0.6790490341753344,1,14.702363238512035
20M03,20M03_1,HS,June,14,0.8394052044609666,0.8848538529672276,17.075367581930912
20M03,20M03_1,HS,June,21,0.5597421913733267,0.8848538529672276,17.075367581930912
20M04,20M04_1,HS,June,7,1,1,15.988112927191679
20M04,20M04_2,LS,June,7,1,1,15.982466567607727
20M04,20M04_1,HS,June,14,1,1,16.32228252788104
20M04,20M04_2,LS,June,14,1,1,16.355516728624536
20M04,20M04_1,HS,June,21,0.714427367377293,1,16.37583622484386
20M04,20M04_2,LS,June,21,0.714427367377293,1,16.414052741151977
20M05,20M05_1,HS,June,7,1,1,15.844323922734027
20M05,20M05_2,LS,June,7,1,1,15.966196136701337
20M05,20M05_1,HS,June,14,1,1,16.17125650557621
20M05,20M05_2,LS,June,14,1,1,16.30246096654275
20M05,20M05_1,HS,June,21,0.714427367377293,1,16.241644691186675
