siteID,n_wet,n_total,prc_missing,prc_wet,tempC_mean
04M04_1,19514,19514,0.6538659382372244,1,17.39898636876089
04M05_1,29056,34811,0.38253188356954076,0.8346786935164172,12.543449771623912
04M06_1,1742,22648,0.5982758926512585,0.07691628399858708,15.710394295302013
04M06_2,21794,22614,0.5988789754687195,0.9637392765543469,14.932759352613425
04M07_1,7690,34812,0.38251414583961546,0.2209008387912214,13.178268700448122
04M08_1,33425,34810,0.38254962129946607,0.9602125825912095,12.652138178684286
04M08_2,34811,34812,0.38251414583961546,0.9999712742732391,12.964256003676892
04M09_1,6014,34811,0.38253188356954076,0.1727614834391428,13.98789491827296
04M09_2,2100,16401,0.7090834914947585,0.12804097311139565,10.276486189866471
04M10_1,5974,34812,0.38251414583961546,0.17160749166953923,13.18173474663909
04M10_2,9000,11400,0.7977898788513046,0.7894736842105263,21.387527192982457
04M11_1,4154,34811,0.38253188356954076,0.11933009680848009,13.75068254287438
04M12_1,7763,34839,0.3820352271316317,0.2228249949768937,13.0464720571773
04M12_2,11402,11402,0.797754403391454,1,19.783882652166287
04M13_1,1895,34812,0.38251414583961546,0.05443525221188096,15.048048086866597
04T01_1,1110,23408,0.5847952179080121,0.04741968557758031,16.858127563226248
04T01_2,1095,23408,0.5847952179080121,0.04677887901572112,17.786317071086806
04T02_1,1737,14001,0.7516540433155364,0.12406256695950289,10.815148917934433
04T02_2,2053,23598,0.5814250492222005,0.08699889821171286,9.04202135774218
04W01_1,1406,22645,0.5983291058410345,0.06208876131596379,18.465848090086112
04W01_2,476,9522,0.8311013356510634,0.04998949800462088,10.909329972694811
04W02_1,49,10295,0.8173900704187878,0.004759592034968431,8.747003399708596
04W02_2,8162,34810,0.38254962129946607,0.23447285262855502,12.988783108302211
04W03_1,387,12197,0.7836529081008212,0.031729113716487664,8.02433713208166
04W04_1,2323,22459,0.6016283236071448,0.10343292221381184,7.663200943942295
04W04_2,12479,34808,0.38258509675931673,0.35850953803723284,12.348414157664905
20M01_1,973,22641,0.5984000567607357,0.042975133607172825,17.68922750761892
20M02_1,1506,21644,0.616084573496284,0.06958048419885418,14.913435594160044
20M03_1,0,2013,0.9642939496603224,0,20.30787878787879
20M04_1,1830,14951,0.7348031998864786,0.12239983947562036,22.60910641428667
20M04_2,82,10255,0.8180995796158008,0.007996099463676255,8.415308629936616
20M05_1,8275,34812,0.38251414583961546,0.23770538894634033,14.597883775709525
20M05_2,13896,22615,0.5988612377387942,0.6144594295821357,15.42970196772054
SFM01_1,8770,22640,0.5984177944906611,0.3873674911660777,15.483584363957597
SFM01_2,4645,10269,0.8178512513968462,0.4523322621482131,10.414494108481838
SFM02_1,3133,22614,0.5988789754687195,0.13854249579906253,16.544915981250554
SFM02_2,17279,22614,0.5988789754687195,0.764084195631025,16.26124966834704
SFM03_1,3041,24860,0.5590400340564414,0.12232502011263073,8.4247747385358
SFM03_2,6855,34812,0.38251414583961546,0.19691485694588073,12.171336895323451
SFM04_1,7628,34812,0.38251414583961546,0.21911984373204643,12.65538320119499
SFM05_1,9405,22615,0.5988612377387942,0.41587441963298694,16.812532832191025
SFM05_2,12400,32384,0.4255813540983025,0.38290513833992096,12.551361783596837
SFM06_1,2591,12197,0.7836529081008212,0.21242928588997295,8.02256784455194
SFM07_1,4344,34812,0.38251414583961546,0.12478455704929335,13.666625588877398
SFT01_1,5492,9953,0.8234563740532487,0.5517934291168491,21.420313473324626
SFT02_1,6166,19488,0.6543271192152829,0.31639983579638753,18.611745176518884
SFT02_2,6521,19486,0.6543625946751335,0.33465051832084575,17.7511428718054
